Valores em 10^6 Euros,N. Obs,% N. FCR,Ativos sob Gestao (10^6 Euro),% Ativos
[0-2[,12,14.12%,12.3,0.31%
[2-10[,27,31.76%,120.8,3.05%
[10-20[,16,18.82%,218.4,5.51%
[20-40[,11,12.94%,307.7,7.76%
[40-100[,12,14.12%,825.2,20.81%
[100 - [,7,8.24%,2481.8,62.57%
Total,85,100.00%,3966.2,100.00%
Media por FCR (10^6 Euros),"54,3",,,
Mediana (10^6 Euros),"13,4",,,
