Tipo de Operacoes a Prazo,N.. de Operacoes SCR,Valorizacao em Carteira SCR,N.. de Operacoes FCR,Valorizacao em Carteira FCR,N.. de Operacoes Total,Valorizacao em Carteira Total
Patrimonio,2,-4278.3,21,-100177.8,23,-104456.1
Opcoes,2,-4278.3,21,-100177.8,23,-104456.1
Extrapatrimoniais,3,-890.4,141,-31290.2,144,-32180.6
Futuros,0,0,1,0.4,1,0.4
Forwards,0,0,1,0,1,0
Swaps,0,0,0,0,0,0
Opcoes,3,-890.4,139,-31290.6,142,-32181
Total,5,-5168.7,162,-131468,167,-136636.7
